流水號,授課對象,課號,班次,課程名稱,簡介影片,學分,課程識別碼,全/半年,必/選修,授課教師,加選方式,時間教室,總人數,選課限制條件,備註,課程網頁,本學期我預計要選的課程,classroom,time_0_0,time_0_1,time_0_2,time_0_3,time_0_4,time_0_5,time_0_6,time_0_7,time_0_8,time_0_9,time_0_10,time_0_11,time_0_12,time_0_13,time_0_14,time_1_0,time_1_1,time_1_2,time_1_3,time_1_4,time_1_5,time_1_6,time_1_7,time_1_8,time_1_9,time_1_10,time_1_11,time_1_12,time_1_13,time_1_14,time_2_0,time_2_1,time_2_2,time_2_3,time_2_4,time_2_5,time_2_6,time_2_7,time_2_8,time_2_9,time_2_10,time_2_11,time_2_12,time_2_13,time_2_14,time_3_0,time_3_1,time_3_2,time_3_3,time_3_4,time_3_5,time_3_6,time_3_7,time_3_8,time_3_9,time_3_10,time_3_11,time_3_12,time_3_13,time_3_14,time_4_0,time_4_1,time_4_2,time_4_3,time_4_4,time_4_5,time_4_6,time_4_7,time_4_8,time_4_9,time_4_10,time_4_11,time_4_12,time_4_13,time_4_14,time_5_0,time_5_1,time_5_2,time_5_3,time_5_4,time_5_5,time_5_6,time_5_7,time_5_8,time_5_9,time_5_10,time_5_11,time_5_12,time_5_13,time_5_14,time_6_0,time_6_1,time_6_2,time_6_3,time_6_4,time_6_5,time_6_6,time_6_7,time_6_8,time_6_9,time_6_10,time_6_11,time_6_12,time_6_13,time_6_14,A1,A2,A3,A4,A5,A6,A7,A8
13149,化工系,Chem1011,02, 普通化學實驗上,  ,1.0,203 10501,全年,必帶,劉銘璋,2,"五7,8,9(思亮103)",88,"本課有先修科目規定,限本系所學生(含輔系、雙修生) 且 限學號單號,本校修課人數上限：88人",詳閱化學系選課須知。實驗須與課程併修或後修，期中停修課程者，實驗須填寫學生報告書一併辦理停修。,    , ,思亮103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73041,化工系,Chem1011,03, 普通化學實驗上,  ,1.0,203 10501,全年,必帶,佘瑞琳,2,"五7,8,9(思亮104)",88,"本課有先修科目規定,限本系所學生(含輔系、雙修生) 且 限學號雙號,本校修課人數上限：88人",詳閱化學系選課須知。實驗須與課程併修或後修，期中停修課程者，實驗須填寫學生報告書一併辦理停修。,    , ,思亮104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10368,化工系,Chem2014,02, 分析化學丁,  ,3.0,203 211D0,半年,必帶,張煥宗,2,"一2,3,4(博雅102)",140,"本課有先修科目規定,限本系所學生(含輔系、雙修生),本校修課人數上限：140人","本課程中文授課,使用英文教科書。請依指定修習院系班次修習。詳化學系選課須知。先修：普化。",    , ,博雅102,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66792,化工系,Chem2014,03, 分析化學丁,  ,3.0,203E211D0,半年,必帶,鄭修偉,2,"一7,8,9(新202)",80,"本課有先修科目規定,限本系所學生(含輔系、雙修生),本校修課人數上限：80人",本課程以英語授課。本班為英文授課班。詳化學系選課須知。先修：普化。本課程英文化程度說明,    , ,新202,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21904,化工系,Chem2019,02, 分析化學實驗,  ,1.0,203 21500,半年,必帶,徐丞志,2,"三7,8,9(思亮204)",60,"本課有先修科目規定,限本系所學生(含輔系、雙修生) 且 限學號單號,本校修課人數上限：60人",詳化學系選課須知。實驗須與課程併修或後修，停修課程者，實驗需一併停修。,    , ,思亮204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24902,化工系,Chem2019,03, 分析化學實驗,  ,1.0,203E21500,半年,必修,鄭修偉,2,"三7,8,9(思亮207)",20,"本課有先修科目規定,限本系所學生(含輔系、雙修生),本校修課人數上限：20人",本課程以英語授課。實驗須與課程併修或後修，停修課程者，實驗需一併停修。本課程英文化程度說明,    , ,思亮207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10301,化工系,Chem2025,02, 有機化學乙上,  ,3.0,203 222B1,全年,必帶,邱勝賢,2,"二2(新303)四3,4(新303)",70,"本課有先修科目規定,限本系所學生(含輔系、雙修生) 且 限學號單號,本校修課人數上限：70人","本課程中文授課,使用英文教科書。詳閱化學系選課須知。先修:普化。",    , ,新303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63771,化工系,Chem2025,03, 有機化學乙上,  ,3.0,203 222B1,全年,必帶,汪根欉,2,"二2(新304)四3,4(新304)",70,"本課有先修科目規定,限本系所學生(含輔系、雙修生) 且 限學號雙號,本校修課人數上限：70人","本課程中文授課,使用英文教科書。詳閱化學系選課須知。先修:普化。",    , ,新304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58447,化工系,Chem2033,02, 有機化學實驗乙上,  ,1.0,203 225B1,全年,必帶,邱勝賢,2,"四7,8,9(思亮308)",80,"本課有先修科目規定,限本系所學生(含輔系、雙修生) 且 限學號單號,本校修課人數上限：80人",詳閱化學系選課須知。實驗須與課程併修或後修，期中停修課程者，實驗須填寫學生報告書一併辦理停修。,    , ,思亮308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48639,化工系,Chem2033,03, 有機化學實驗乙上,  ,1.0,203 225B1,全年,必帶,汪根欉,2,"四7,8,9(思亮309)",80,"本課有先修科目規定,限學號雙號 且 限本系所學生(含輔系、雙修生),本校修課人數上限：80人",詳閱化學系選課須知。實驗須與課程併修或後修，期中停修課程者，實驗須填寫學生報告書一併辦理停修。,    , ,思亮309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30512,化工系,Chem3043,01, 物理化學實驗,  ,1.0,203 33230,半年,必帶,陳振中,2,"五6,7,8,9,10(思亮201)",60,"本課有先修科目規定,限本系所學生(含輔系、雙修生) 且 限學號雙號,本校修課人數上限：60人",請符合先修課程規定：普化實驗。,    , ,思亮201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62726,化工系,ME4110, , 工程發展與社會變遷,  ,2.0,502 45350,半年,選修,楊申語,2,"四6,7(博雅103)",180,"本校修課人數上限：180人,外系人數限制：100人",兼通識A7*。第一次上課未到者視同放棄。不列入化工選修。,    , ,博雅103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58150,化工系,ME4116, , 現代科技與人類文明,  ,2.0,502 45410,半年,選修,楊申語,2,"二6,7(博雅102)",180,本校修課人數上限：180人,"兼通識7*,化工可歸為其他選修學分.第一次上課未到者視同放棄.",    , ,博雅102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56764,化工系,ChemE0004,01, 服務學習甲,  ,0.0,504 001A0,半年,必修,陳立仁,2, ,25,本校修課人數上限：25人,大一同學必修。另有四班在下學期開授。限學號末二位除8餘1。,    , ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10388,化工系,ChemE0004,02, 服務學習甲,  ,0.0,504 001A0,半年,必修,李篤中,2, ,25,本校修課人數上限：25人,大一同學必修。另有四班在下學期開授。限學號末二位除8餘2。,    , ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10659,化工系,ChemE0004,03, 服務學習甲,  ,0.0,504 001A0,半年,必修,謝學真,2, ,25,本校修課人數上限：25人,大一同學必修。另有四班在下學期開授。限學號末二位除8餘3。,    , ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30651,化工系,ChemE0004,04, 服務學習甲,  ,0.0,504 001A0,半年,必修,林立強,2, ,25,本校修課人數上限：25人,大一同學必修。另有四班在下學期開授。限學號末二位除8餘4。,    , ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66113,化工系,ChemE0005,01, 服務學習乙,  ,0.0,504 001B0,半年,必修,徐治平,2, ,25,本校修課人數上限：25人,大二必修，請勿退選及選錯班級，其他年級請勿選修，限徐治平導生選修,    , ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17617,化工系,ChemE0005,02, 服務學習乙,  ,0.0,504 001B0,半年,必修,童國倫,2, ,25,本校修課人數上限：25人,大二必修，請勿退選及選錯班級，其他年級請勿選修，限童國倫導生選修,    , ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
