流水號,授課對象,課號,班次,課程名稱,簡介影片,學分,課程識別碼,全/半年,必/選修,授課教師,加選方式,時間教室,總人數,選課限制條件,備註,課程網頁,本學期我預計要選的課程,classroom,time_0_0,time_0_1,time_0_2,time_0_3,time_0_4,time_0_5,time_0_6,time_0_7,time_0_8,time_0_9,time_0_10,time_0_11,time_0_12,time_0_13,time_0_14,time_1_0,time_1_1,time_1_2,time_1_3,time_1_4,time_1_5,time_1_6,time_1_7,time_1_8,time_1_9,time_1_10,time_1_11,time_1_12,time_1_13,time_1_14,time_2_0,time_2_1,time_2_2,time_2_3,time_2_4,time_2_5,time_2_6,time_2_7,time_2_8,time_2_9,time_2_10,time_2_11,time_2_12,time_2_13,time_2_14,time_3_0,time_3_1,time_3_2,time_3_3,time_3_4,time_3_5,time_3_6,time_3_7,time_3_8,time_3_9,time_3_10,time_3_11,time_3_12,time_3_13,time_3_14,time_4_0,time_4_1,time_4_2,time_4_3,time_4_4,time_4_5,time_4_6,time_4_7,time_4_8,time_4_9,time_4_10,time_4_11,time_4_12,time_4_13,time_4_14,time_5_0,time_5_1,time_5_2,time_5_3,time_5_4,time_5_5,time_5_6,time_5_7,time_5_8,time_5_9,time_5_10,time_5_11,time_5_12,time_5_13,time_5_14,time_6_0,time_6_1,time_6_2,time_6_3,time_6_4,time_6_5,time_6_6,time_6_7,time_6_8,time_6_9,time_6_10,time_6_11,time_6_12,time_6_13,time_6_14,A1,A2,A3,A4,A5,A6,A7,A8
16200,中文系,CHIN2031, , 左傳乙上,  ,2.0,101 222B1,全年,必修,李隆獻,2,"一8,9(文17)",40(含開放臺大系統人數:2),"限學士班三年級以上,本校修課人數上限：38人,外系人數限制：5人",群組必修C五門必修習一門。,    , ,文17,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86532,中文系,CHIN2003,01, 中國文學史上,  ,3.0,101 25101,全年,必帶,黃奕珍,2,"四7,8,9(普302)",50,"限本系所學生(含輔系、雙修生) 且 限學號單號 且 限學士班二年級以上,本校修課人數上限：50人","下學期由蔡祝青先生授課。
",   , ,普302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65441,中文系,CHIN2003,02, 中國文學史上,  ,3.0,101 25101,全年,必帶,吳旻旻,2,"四7,8,9(普303)",50,"限本系所學生(含輔系、雙修生) 且 限學號雙號 且 限學士班二年級以上,本校修課人數上限：50人", ,    , ,普303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71234,中文系,CHIN2035, , 史記甲上,  ,2.0,101 255A1,全年,必修,黃沛榮,2,"三8,9(文18)",45(含開放臺大系統人數:2),"限學士班二年級以上,本校修課人數上限：43人,外系人數限制：1人",群組必修D五門必修習一門。,    , ,文18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44851,中文系,CHIN2005,01, 歷代文選及習作上,  ,2.0,101 26001,全年,必帶,曹美秀,2,"二6,7(普304)",40,"限本系所學生(含輔系、雙修生) 且 限學號單號 且 限學士班二年級以上,本校修課人數上限：40人", ,   , ,普304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71021,中文系,CHIN2005,02, 歷代文選及習作上,  ,2.0,101 26001,全年,必帶,陳志信,2,"二6,7(普302)",40,"限本系所學生(含輔系、雙修生) 且 限學號雙號 且 限學士班二年級以上,本校修課人數上限：40人", ,   , ,普302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58452,中文系,CHIN2007,01, 詩選及習作甲上,  ,2.0,101 271A1,全年,必帶,蔡瑜,2,"二8,9(綜403)",40,"限本系所學生(含輔系、雙修生) 且 限學號單號 且 限學士班二年級以上,本校修課人數上限：40人", ,    , ,綜403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26671,中文系,CHIN2007,02, 詩選及習作甲上,  ,2.0,101 271A1,全年,必帶,曹淑娟,2,"二8,9(普301)",40,"限本系所學生(含輔系、雙修生) 且 限學號雙號 且 限學士班二年級以上,本校修課人數上限：40人", ,   , ,普301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59174,中文系,CHIN1013, , 現代詩選上,  ,2.0,101 27701,全年,必修,劉正忠,2,"五3,4(共101)",100,"本校修課人數上限：100人,外系人數限制：10人",群組必修A四門必修習一門。,  , ,共101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12179,中文系,CHIN1049,01, 音樂作品欣賞一,  ,2.0,101 28310,半年,選修,蔡世豪,3,"四3,4(外教劇場)",180(含開放臺大系統人數:6),本校修課人數上限：174人,A1*:文學與藝術領域。兼通識A1*。,   , ,外教劇場,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
